Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc),Crystal System
mp-1207629,YRhO3,Pnma,-2.57,0,0.813,236.233,20,6.743,orthorhombic
mp-1070599,CsYbCl3,Pm3m,-2.689,0,5.385,159.725,5,4.286,cubic
mp-1079630,Ba2TaInO6,Fm3m,-3.086,0,4.052,148.172,10,7.468,cubic
mp-1206645,Sr2TiMnO6,I4/m,-3.039,0,0.988,236.332,20,5.256,tetragonal
mp-22942,BaBiO3,C2/m,-2.243,0,0,172.722,10,7.582,monoclinic
mp-1214109,Ca2YbRuO6,P21/c,-2.662,0,0,258.066,20,5.794,monoclinic
mp-19802,TbCoO3,Pnma,-2.684,0,1.422,211.848,20,8.336,orthorhombic
mp-1214573,Ba2PrBiO6,C2/m,-2.757,0,1.942,175.088,10,6.834,monoclinic
mp-12448,LiSm2OsO6,P21/c,-2.852,0,0.396,244.312,20,8.073,monoclinic
mp-6739,Ba2CaOsO6,Fm3m,-2.682,0,0,150.889,10,6.614,cubic
mp-1205693,Ba2DyUO6,Fm3m,-3.667,0,0.882,170.547,10,7.509,cubic
mp-1112690,Cs2KYCl6,Fm3m,-2.507,0,5.215,366.011,10,2.752,cubic
mp-1206768,Rb2NaVCl6,Fm3m,-2.017,0,0,275.474,10,2.758,cubic
mp-1214536,Ba3HoRu2O9,P63/mmc,-2.649,0,0,447.609,30,6.849,hexagonal
mp-4243,CaIrO3,Cmcm,-2.112,0,0,117.135,10,7.947,orthorhombic
mp-998786,TlPdF3,Pm3m,-1.714,0,0,82.385,5,7.413,cubic
mp-656144,BaEuFe2O5,P4/mmm,-2.499,0,0,122.977,9,6.495,tetragonal
mp-20090,PrCoO3,Pnma,-2.562,0,1.134,233.894,20,7.038,orthorhombic
mp-6254,Ba2TbNbO6,I4/m,-3.461,0,2.992,157.184,10,6.576,tetragonal
mp-1209238,RbCaBr3,Pnma,-1.965,0,4.626,723.127,20,3.355,orthorhombic
mp-1212884,DyRhO3,Pnma,-2.598,0,0.912,236.13,20,8.816,orthorhombic
mp-1080847,Mg3SbN,Pm3m,-0.688,0,0.699,83.886,5,4.131,cubic
mp-1207074,Gd3SnC,Pm3m,-0.611,0,0,121.557,5,8.23,cubic
mp-1214484,Ba3TmRu2O9,P63/mmc,-2.663,0,0,443.261,30,6.946,hexagonal
mp-1112567,Cs2NaTmCl6,Fm3m,-2.495,0,5.452,319.287,10,3.487,cubic
mp-984788,Ba4Er(RuO4)3,R3m,-2.54,0,0,298.109,20,6.75,trigonal
mp-1112785,Cs2KDyCl6,Fm3m,-2.509,0,5.239,365.082,10,3.093,cubic
mp-1069296,Eu3InO,Pm3m,-1.455,0,0,122.077,5,7.981,cubic
mp-1189927,EuZrS3,Pnma,-2.176,0,0,470.145,20,4.795,orthorhombic
mp-1207169,CaH3Pd,Pm3m,-0.609,0,0,51.773,5,4.796,cubic
mp-1209329,PrVO3,Pnma,-3.211,0,1.302,249.414,20,6.387,orthorhombic
mp-1112689,Cs2KTmCl6,Fm3m,-2.513,0,5.259,358.566,10,3.18,cubic
mp-1211045,LiGd2RuO6,P21/c,-2.839,0,0.199,239.165,20,7.2,monoclinic
mp-1206909,CaBPd3,Pm3m,-0.557,0,0,80.06,5,7.677,cubic
mp-1206922,Ce3SnN,Pm3m,-1.057,0,0,117.321,5,7.828,cubic
mp-687081,YbCoO3,Pnma,-2.21,0,0,206.557,20,9.003,orthorhombic
mp-1207213,K2LiCuF6,Fm3m,-2.628,0,0.908,132.845,10,3.283,cubic
mp-23127,Ba2BiSbO6,C2/m,-2.463,0,1.926,162.478,10,7.168,monoclinic
mp-1210555,Mn3SnH,Pm3m,-0.029,0,0,57.424,5,8.228,cubic
mp-1214121,Ca2NbFeO6,P21/c,-3,0,2.099,483.833,40,4.46,monoclinic
mp-1078258,Cs2AgBiCl6,Fm3m,-1.696,0,2.114,328.966,10,4.015,cubic
mp-1206427,KRb2CuF6,Fm3m,-2.585,0,0.93,176.793,10,3.64,cubic
mp-1079458,Cs2NaCeCl6,Fm3m,-2.456,0,0.422,343.033,10,3.106,cubic
mp-1205671,Ba2TaFeO6,Fm3m,-3.064,0,1.862,275.902,20,7.312,cubic
mp-1206123,AlFe3H,Pm3m,-0.201,0,0,49.942,5,6.501,cubic
mp-1214125,Ca2ScNbO6,P21/c,-3.519,0,3.143,251.878,20,4.14,monoclinic
mp-1208760,Sr2ScNbO6,P21/c,-3.51,0,2.94,270.563,20,5.022,monoclinic
mp-1106374,LaLuS3,Pnma,-2.538,0,2.232,485.351,20,5.612,orthorhombic
mp-1079871,Cs2KSmCl6,Fm3m,-2.494,0,5.178,377.012,10,2.942,cubic
mp-1206878,Tb3GaC,Pm3m,-0.417,0,0.012,116.636,5,7.951,cubic
mp-3187,BaCeO3,Pnma,-3.6,0,2.229,352.113,20,6.139,orthorhombic
mp-1206820,HoRu3C,Pm3m,-0.231,0,0,71.696,5,11.121,cubic
mp-1214561,Ba2TbWO6,C2/m,-3.141,0,1.717,156.336,10,7.578,monoclinic
mp-1205845,Ba2GdUO6,Fm3m,-3.628,0,0.857,174.355,10,7.295,cubic
mp-1206763,Ba2ScUO6,Fm3m,-3.685,0,0.85,157.443,10,6.894,cubic
mp-1214081,Ca2ScTaO6,P21/c,-3.64,0,3.733,250.767,20,5.325,monoclinic
mp-1207069,Ba2PuZnO6,Fm3m,-2.92,0,0.66,150.762,10,7.49,cubic
mp-1214014,Cs2NaUBr6,Pa3,-1.599,0,0.52,1596.347,40,4.187,cubic
mp-1105546,LaFe4(CuO4)3,Im3,-1.786,0,0,211.681,20,5.844,cubic
mp-1095170,Sr2FeOsO6,Fm3m,-2.39,0,0,252.316,20,6.809,cubic
mp-1207064,Ba2TbTaO6,I4/m,-3.582,0,3.513,155.778,10,7.574,tetragonal
